Tweet,sentiments,cleaned_tweets,tokens
right i don%27t see how people can just do shit like this ,-1,right i dont see how people can just do shit like this,"['right', 'dont', 'see', 'people', 'can', 'just', 'do', 'shit', 'like']"
i miss hoseok unhappy  ,-1,i miss hoseok unhappy,"['miss', 'hoseok', 'unhappy']"
Left few months in HinHua ler unhappy  I need to gambateh wink  ,-1,Left few months in HinHua ler unhappy I need to gambateh wink,"['left', 'month', 'hinhua', 'ler', 'unhappy', 'need', 'gambateh', 'wink']"
A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,-1,A fish killer going to be pressed younhappy I the hoe of today you were a GOOD person,"['fish', 'killer', 'going', 'pressed', 'younhappy', 'hoe', 'today', 'good', 'person']"
She loved Beth so much unhappy ,-1,She loved Beth so much unhappy,"['loved', 'beth', 'much', 'unhappy']"
prince baekhyun.....throw me into the dungeon please i don't deserve to see your beautiful face unhappy ,-1,prince baekhyunthrow me into the dungeon please i dont deserve to see your beautiful face unhappy,"['prince', 'baekhyunthrow', 'dungeon', 'please', 'dont', 'deserve', 'see', 'beautiful', 'face', 'unhappy']"
They are family.  It's awful when they go.  Sorry to hear. unhappy ,-1,They are family Its awful when they go Sorry to hear unhappy,"['family', 'awful', 'go', 'sorry', 'hear', 'unhappy']"
I face swapped a cat with a dog and it's really upsetting unhappy  ,-1,I face swapped a cat with a dog and its really upsetting unhappy,"['face', 'swapped', 'cat', 'dog', 'really', 'upsetting', 'unhappy']"
my honey unhappy  ,-1,my honey unhappy,"['honey', 'unhappy']"
We all do unhappy  Pizza in Taiwan! Its like a swift,-1,We all do unhappy Pizza in Taiwan Its like a swift,"['do', 'unhappy', 'pizza', 'taiwan', 'like', 'swift']"
 flavorful dream ,-1,flavorful dream,"['flavorful', 'dream']"
Can't :(Tello,-1,Cant Tello,"['cant', 'tello']"
Swear I just walked past haha,-1,Swear I just walked past haha,"['swear', 'just', 'walked', 'past', 'haha']"
 didn't get a chance to say hi unhappy ,-1,didnt get a chance to say hi unhappy,"['didnt', 'get', 'chance', 'say', 'hi', 'unhappy']"
I miss quacktopia! unhappy ,-1,I miss quacktopia unhappy,"['miss', 'quacktopia', 'unhappy']"
are dying of thirst  and it's all because of us unhappy   ,-1,are dying of thirst and its all because of us unhappy,"['dying', 'thirst', 'u', 'unhappy']"
Goodnight I love these beautiful boys unhappy  ,-1,Goodnight I love these beautiful boys unhappy,"['goodnight', 'love', 'beautiful', 'boy', 'unhappy']"
Why no available in the U.K.? unhappy ,-1,Why no available in the UK unhappy,"['no', 'available', 'uk', 'unhappy']"
Ailes sure knew how to make a great network!  Fox is going downhill wi ,-1,Ailes sure knew how to make a great network Fox is going downhill wi,"['ailes', 'sure', 'knew', 'make', 'great', 'network', 'fox', 'going', 'downhill', 'wi']"
penge damit unhappy ,-1,penge damit unhappy,"['penge', 'damit', 'unhappy']"
I'm sorry unhappy ,-1,Im sorry unhappy,"['im', 'sorry', 'unhappy']"
Koalas are dying of thirst  and it's all because of us unhappy  ,-1,Koalas are dying of thirst and its all because of us unhappy,"['koala', 'dying', 'thirst', 'u', 'unhappy']"
i'm hungry unhappy ,-1,im hungry unhappy,"['im', 'hungry', 'unhappy']"
Finals are next week unhappy  wish me luck x,-1,Finals are next week unhappy wish me luck x,"['final', 'next', 'week', 'unhappy', 'wish', 'luck', 'x']"
I miss Temperance Brennan and Seeley Booth so much unhappy ,-1,I miss Temperance Brennan and Seeley Booth so much unhappy,"['miss', 'temperance', 'brennan', 'seeley', 'booth', 'much', 'unhappy']"
I miss quacktopia! unhappy ,-1,I miss quacktopia unhappy,"['miss', 'quacktopia', 'unhappy']"
I said D2 largely because SD D2 doesn't run on newer versions of Mac OS and I miss playing it unhappy   HD woul ,-1,I said D largely because SD D doesnt run on newer versions of Mac OS and I miss playing it unhappy HD woul,"['said', 'largely', 'sd', 'doesnt', 'run', 'newer', 'version', 'mac', 'o', 'miss', 'playing', 'unhappy', 'hd', 'woul']"
follow mee plss unhappy  ,-1,follow mee plss unhappy,"['follow', 'mee', 'plss', 'unhappy']"
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1,talking to my over driver about where Im goinghe said hed love to go to New York too but since Trump its probably not,"['talking', 'driver', 'im', 'goinghe', 'said', 'hed', 'love', 'go', 'new', 'york', 'but', 'since', 'trump', 'probably', 'not']"
Babye old twitter unhappy ,-1,Babye old twitter unhappy,"['babye', 'old', 'twitter', 'unhappy']"
congratyoulations Harry!!!!! Been with you since fifa 13!!!! Miss yoyour younboxing videos unhappy ,-1,congratyoulations Harry Been with you since fifa  Miss yoyour younboxing videos unhappy,"['congratyoulations', 'harry', 'since', 'fifa', 'miss', 'yoyour', 'younboxing', 'video', 'unhappy']"
can't wait to see you in that film Karl! I wished you would be here were I'm bu,-1,cant wait to see you in that film Karl I wished you would be here were Im bu,"['cant', 'wait', 'see', 'film', 'karl', 'wished', 'would', 'im', 'bu']"
Cram reading unhappy ,-1,Cram reading unhappy,"['cram', 'reading', 'unhappy']"
I'm job searching and got none so:(ButHedonism i got in abundance,-1,Im job searching and got none soButHedonism i got in abundance,"['im', 'job', 'searching', 'got', 'none', 'sobuthedonism', 'got', 'abundance']"
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,-1,its only been a few days since their promotion ended but im already missing her so much unhappy,"['day', 'since', 'promotion', 'ended', 'but', 'im', 'already', 'missing', 'much', 'unhappy']"
Hello I am getting cyber bullied by do something about it unhappy ,-1,Hello I am getting cyber bullied by do something about it unhappy,"['hello', 'getting', 'cyber', 'bullied', 'do', 'something', 'unhappy']"
Call center nice game 4/20 unhappy ,-1,Call center nice game  unhappy,"['call', 'center', 'nice', 'game', 'unhappy']"
BES RIP  ,-1,BES RIP,"['be', 'rip']"
Follow me too unhappy  ,-1,Follow me too unhappy,"['follow', 'unhappy']"
I'll be attending cosmic latte on saturday and i'll give these out to selu shippers KASI SELU MONTH QAQO unhappy  ,-1,Ill be attending cosmic latte on saturday and ill give these out to selu shippers KASI SELU MONTH QAQO unhappy,"['ill', 'attending', 'cosmic', 'latte', 'saturday', 'ill', 'give', 'out', 'selu', 'shipper', 'kasi', 'selu', 'month', 'qaqo', 'unhappy']"
baby unhappy  ,-1,baby unhappy,"['baby', 'unhappy']"
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,-1,I only just absorbed that Im not going to get to laugh when he gets  votes unhappy,"['just', 'absorbed', 'im', 'not', 'going', 'get', 'laugh', 'get', 'vote', 'unhappy']"
friendly fire to wings tour unhappy ,-1,friendly fire to wings tour unhappy,"['friendly', 'fire', 'wing', 'tour', 'unhappy']"
my back hurts sad ,-1,my back hurts sad,"['back', 'hurt', 'sad']"
Typed up all the medical  shorthand abbreviation we use for work,-1,Typed up all the medical shorthand abbreviation we use for work,"['typed', 'medical', 'shorthand', 'abbreviation', 'use', 'work']"
 and the dame computer decides to crash unhappy  now I... ,-1,and the dame computer decides to crash unhappy now I,"['dame', 'computer', 'decides', 'crash', 'unhappy']"
excuse me i don%27t see my nama unhappy ,-1,excuse me i dont see my nama unhappy,"['excuse', 'dont', 'see', 'nama', 'unhappy']"
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,this is damn theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,"['damn', 'there', 'people', 'sincerely', 'want', 'attend', 'bh', 'birthday', 'party', 'but', 'bcs', 'people', 'try', 'fun', 'make', 'ca']"
That's shocking and evil unhappy ,-1,Thats shocking and evil unhappy,"['thats', 'shocking', 'evil', 'unhappy']"
Zac farro is back By the way hehehe So sad Jeremy is not unhappy ,-1,Zac farro is back By the way hehehe So sad Jeremy is not unhappy,"['zac', 'farro', 'back', 'way', 'hehehe', 'sad', 'jeremy', 'not', 'unhappy']"
Maa ki kuss tumhari. Now take this bullshit you loser. ,-1,Maa ki kuss tumhari Now take this bullshit you loser,"['maa', 'ki', 'kuss', 'tumhari', 'take', 'bullshit', 'loser']"
I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again unhappy ,-1,I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again unhappy,"['thought', 'mountain', 'dew', 'australia', 'had', 'no', 'caffeine', 'little', 'energy', 'drink', 'can', 'caffeinated', 'will', 'never', 'sleep', 'unhappy']"
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,-1,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy,"['hope', 'little', 'beaand', 'andot', 'overworkiandg', 'gettiandg', 'least', 'rest', 'unhappy']"
base unver ajalah MINAHAES unhappy ,-1,base unver ajalah MINAHAES unhappy,"['base', 'unver', 'ajalah', 'minahaes', 'unhappy']"
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,this is damn theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,"['damn', 'there', 'people', 'sincerely', 'want', 'attend', 'bh', 'birthday', 'party', 'but', 'bcs', 'people', 'try', 'fun', 'make', 'ca']"
has someone contacted jelpi about the issue rn? unhappy ,-1,has someone contacted jelpi about the issue rn unhappy,"['ha', 'someone', 'contacted', 'jelpi', 'issue', 'rn', 'unhappy']"
arisun at town hall has pretty terrible service and rude staff. we only went there because ICG's fryer was broken unhappy ,-1,arisun at town hall has pretty terrible service and rude staff we only went there because ICGs fryer was broken unhappy,"['arisun', 'town', 'hall', 'ha', 'pretty', 'terrible', 'service', 'rude', 'staff', 'went', 'icgs', 'fryer', 'broken', 'unhappy']"
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,this is damn theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,"['damn', 'there', 'people', 'sincerely', 'want', 'attend', 'bh', 'birthday', 'party', 'but', 'bcs', 'people', 'try', 'fun', 'make', 'ca']"
Powerpoint'te mi hazirladiniz post'u unhappy ,-1,Powerpointte mi hazirladiniz postu unhappy,"['powerpointte', 'mi', 'hazirladiniz', 'postu', 'unhappy']"
Yeah! My sight reading was pretty good in high school,-1,Yeah My sight reading was pretty good in high school,"['yeah', 'sight', 'reading', 'pretty', 'good', 'high', 'school']"
 but I'm a bit rusty now! unhappy  ,-1,but Im a bit rusty now unhappy,"['but', 'im', 'bit', 'rusty', 'unhappy']"
only pure evil people unhappy ,-1,only pure evil people unhappy,"['pure', 'evil', 'people', 'unhappy']"
poor baby unhappy  I hate people ,-1,poor baby unhappy I hate people,"['poor', 'baby', 'unhappy', 'hate', 'people']"
what a great thing to be sad about unhappy ,-1,what a great thing to be sad about unhappy,"['great', 'thing', 'sad', 'unhappy']"
so my hair iand suandlight versus ando light but I waandt to chaandge it and I duandando if I waandt to go darker or bloandder sad  please help (po ,-1,so my hair iand suandlight versus ando light but I waandt to chaandge it and I duandando if I waandt to go darker or bloandder sad please help po,"['hair', 'iand', 'suandlight', 'versus', 'ando', 'light', 'but', 'waandt', 'chaandge', 'duandando', 'waandt', 'go', 'darker', 'bloandder', 'sad', 'please', 'help', 'po']"
Hi Ashish! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate.. cont1,-1,Hi Ashish We tried to call your number but got no response unhappy Please share another suitable time and an alternate cont,"['hi', 'ashish', 'tried', 'call', 'number', 'but', 'got', 'no', 'response', 'unhappy', 'please', 'share', 'another', 'suitable', 'time', 'alternate', 'cont']"
Kante why do broke girls love exposing broke niggars so much? Where's the team spirit? unhappy ,-1,Kante why do broke girls love exposing broke niggars so much Wheres the team spirit unhappy,"['kante', 'do', 'broke', 'girl', 'love', 'exposing', 'broke', 'niggars', 'much', 'wheres', 'team', 'spirit', 'unhappy']"
But i want unhappy  that looks so yummy hehehe.,-1,But i want unhappy that looks so yummy hehehe,"['but', 'want', 'unhappy', 'look', 'yummy', 'hehehe']"
Don't think I'm pretty enough unhappy ,-1,Dont think Im pretty enough unhappy,"['dont', 'think', 'im', 'pretty', 'enough', 'unhappy']"
Koalas are dying of thirst  and it's all because of us unhappy  ,-1,Koalas are dying of thirst and its all because of us unhappy,"['koala', 'dying', 'thirst', 'u', 'unhappy']"
did some warm up sketches of some of my faves,-1,did some warm up sketches of some of my faves,"['did', 'warm', 'sketch', 'faves']"
  i was going to add bazza,-1,i was going to add bazza,"['going', 'add', 'bazza']"
 but i can't,-1,but i cant,"['but', 'cant']"
i just want to wish marissa a happy birthday but she keeps ignoring me sad ,-1,i just want to wish marissa a happy birthday but she keeps ignoring me sad,"['just', 'want', 'wish', 'marissa', 'happy', 'birthday', 'but', 'keep', 'ignoring', 'sad']"
what's wrong with you why don't you like animals unhappy ,-1,whats wrong with you why dont you like animals unhappy,"['whats', 'wrong', 'dont', 'like', 'animal', 'unhappy']"
Someone build house on (4) i cant do it unhappy  cant believe this hasn't already been done????,-1,Someone build house on  i cant do it unhappy cant believe this hasnt already been done,"['someone', 'build', 'house', 'cant', 'do', 'unhappy', 'cant', 'believe', 'hasnt', 'already', 'done']"
tulips are my favorite unhappy  ,-1,tulips are my favorite unhappy,"['tulip', 'favorite', 'unhappy']"
Omg I'm sad to say that I actually don't remember this! unhappy  when did this happen??,-1,Omg Im sad to say that I actually dont remember this unhappy when did this happen,"['omg', 'im', 'sad', 'say', 'actually', 'dont', 'remember', 'unhappy', 'did', 'happen']"
crying  We're getting VM soon wooo,-1,crying Were getting VM soon wooo,"['cry', 'getting', 'vm', 'soon', 'wooo']"
unhappy  my 4c struggle is not valid?,-1,unhappy my c struggle is not valid,"['unhappy', 'c', 'struggle', 'not', 'valid']"
77 ? Old Leyland,-1, Old Leyland,"['old', 'leyland']"
 love it unhappy ,-1,love it unhappy,"['love', 'unhappy']"
only pure evil people unhappy ,-1,only pure evil people unhappy,"['pure', 'evil', 'people', 'unhappy']"
sounds family ,-1,sounds family,"['sound', 'family']"
this is jimin to yoongi unhappy  ,-1,this is jimin to yoongi unhappy,"['jimin', 'yoongi', 'unhappy']"
Chin up Leo crying  ,-1,Chin up Leo crying,"['chin', 'leo', 'cry']"
slight buzy kasi besh unhappy  ,-1,slight buzy kasi besh unhappy,"['slight', 'buzy', 'kasi', 'besh', 'unhappy']"
Rip tes 100k experience  crying ,-1,Rip tes k experience crying,"['rip', 'te', 'k', 'experience', 'cry']"
please reading this breaks my heart unhappy ,-1,please reading this breaks my heart unhappy,"['please', 'reading', 'break', 'heart', 'unhappy']"
mager unhappy ,-1,mager unhappy,"['mager', 'unhappy']"
penge damit unhappy ,-1,penge damit unhappy,"['penge', 'damit', 'unhappy']"
this is jimin to yoongi unhappy  ,-1,this is jimin to yoongi unhappy,"['jimin', 'yoongi', 'unhappy']"
Bapak Tom Cruise. ,-1,Bapak Tom Cruise,"['bapak', 'tom', 'cruise']"
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,-1,I only just absorbed that Im not going to get to laugh when he gets  votes unhappy,"['just', 'absorbed', 'im', 'not', 'going', 'get', 'laugh', 'get', 'vote', 'unhappy']"
I just watched this kid from produce 101 who performed Chewing Gum omoo poor kid bless his soul unhappy ,-1,I just watched this kid from produce  who performed Chewing Gum omoo poor kid bless his soul unhappy,"['just', 'watched', 'kid', 'produce', 'performed', 'chewing', 'gum', 'omoo', 'poor', 'kid', 'bless', 'soul', 'unhappy']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
My moms leaving today to go out of town and I already miss her unhappy ,-1,My moms leaving today to go out of town and I already miss her unhappy,"['mom', 'leaving', 'today', 'go', 'out', 'town', 'already', 'miss', 'unhappy']"
I can't do it all on my own. (See what I did there? ) ,-1,I cant do it all on my own See what I did there,"['cant', 'do', 'see', 'did']"
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1,When your online crush comes to the meetup without their Snapchat filter unhappy,"['online', 'crush', 'come', 'meetup', 'without', 'snapchat', 'filter', 'unhappy']"
and i would never forget about you!! ,-1,and i would never forget about you,"['would', 'never', 'forget']"
fuckin' headache everyday unhappy ,-1,fuckin headache everyday unhappy,"['fuckin', 'headache', 'everyday', 'unhappy']"
Jyoust hyoug me,-1,Jyoust hyoug me,"['jyoust', 'hyoug']"
 hyoug me longer than 10 secs. Hyoug me even when i don%27t want you to unhappy ,-1,hyoug me longer than  secs Hyoug me even when i dont want you to unhappy,"['hyoug', 'longer', 'sec', 'hyoug', 'even', 'dont', 'want', 'unhappy']"
the saddest part of my day everyday is when ryan has to leave at 5:30 am unhappy ,-1,the saddest part of my day everyday is when ryan has to leave at  am unhappy,"['saddest', 'part', 'day', 'everyday', 'ryan', 'ha', 'leave', 'unhappy']"
What did he say I'm at work unhappy  totally made my day though,-1,What did he say Im at work unhappy totally made my day though,"['did', 'say', 'im', 'work', 'unhappy', 'totally', 'made', 'day', 'though']"
jimin doesnt follow me yet unhappy ,-1,jimin doesnt follow me yet unhappy,"['jimin', 'doesnt', 'follow', 'yet', 'unhappy']"
I DON'T KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND I'VE BEEN WAITING THE DM FOR A LONG TIME unhappy ,-1,I DONT KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND IVE BEEN WAITING THE DM FOR A LONG TIME unhappy,"['dont', 'know', 'time', 'but', 'have', 'retweeted', 'ive', 'waiting', 'dm', 'long', 'time', 'unhappy']"
need moodbooster juseyo unhappy  ,-1,need moodbooster juseyo unhappy,"['need', 'moodbooster', 'juseyo', 'unhappy']"
i miss you too unhappy ,-1,i miss you too unhappy,"['miss', 'unhappy']"
Wth why did 4/20 have to happen during the Easter holidays it's one of the best days in Leeds unhappy ,-1,Wth why did  have to happen during the Easter holidays its one of the best days in Leeds unhappy,"['wth', 'did', 'have', 'happen', 'easter', 'holiday', 'one', 'best', 'day', 'leeds', 'unhappy']"
hakyeon turns 27 soon oh my god no he's still a baby unhappy ,-1,hakyeon turns  soon oh my god no hes still a baby unhappy,"['hakyeon', 'turn', 'soon', 'oh', 'god', 'no', 'he', 'still', 'baby', 'unhappy']"
It's gray outside today unhappy ,-1,Its gray outside today unhappy,"['gray', 'outside', 'today', 'unhappy']"
I ordered car yesterday,-1,I ordered car yesterday,"['ordered', 'car', 'yesterday']"
 dealer said loads of cars were returning due to disabled losing them sad ,-1,dealer said loads of cars were returning due to disabled losing them sad,"['dealer', 'said', 'load', 'car', 'returning', 'due', 'disabled', 'losing', 'sad']"
Gotta keep trying before i have to quit to work unhappy  pick me please! give ,-1,Gotta keep trying before i have to quit to work unhappy pick me please give,"['got', 'ta', 'keep', 'trying', 'have', 'quit', 'work', 'unhappy', 'pick', 'please', 'give']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
I literally couldn't see a thing when they were at the back of the stage,-1,I literally couldnt see a thing when they were at the back of the stage,"['literally', 'couldnt', 'see', 'thing', 'back', 'stage']"
 the girl in front of me was ,-1,the girl in front of me was,"['girl', 'front']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
getting up this morning was a hassle unhappy ,-1,getting up this morning was a hassle unhappy,"['getting', 'morning', 'hassle', 'unhappy']"
My mom knows the struggle of this drystreak I'm on unhappy  ,-1,My mom knows the struggle of this drystreak Im on unhappy,"['mom', 'know', 'struggle', 'drystreak', 'im', 'unhappy']"
Haven't played FM in a long time. I really should. unhappy ,-1,Havent played FM in a long time I really should unhappy,"['havent', 'played', 'fm', 'long', 'time', 'really', 'should', 'unhappy']"
Someone messed up unhappy  Available**,-1,Someone messed up unhappy Available,"['someone', 'messed', 'unhappy', 'available']"
I miss my baby unhappy ,-1,I miss my baby unhappy,"['miss', 'baby', 'unhappy']"
Yesterday's faci so cute! But he 30+ :(Today's faci is old eeyer,-1,Yesterdays faci so cute But he  Todays faci is old eeyer,"['yesterday', 'faci', 'cute', 'but', 'today', 'faci', 'old', 'eeyer']"
yes jenniessi? ,-1,yes jenniessi,"['yes', 'jenniessi']"
SO PRECIOUS I REALLY MISS HIM unhappy   ,-1,SO PRECIOUS I REALLY MISS HIM unhappy,"['precious', 'really', 'miss', 'unhappy']"
Louis_Tomlinson follow me please? unhappy ,-1,Louis_Tomlinson follow me please unhappy,"['louis_tomlinson', 'follow', 'please', 'unhappy']"
I WAITED FOR U unhappy ,-1,I WAITED FOR U unhappy,"['waited', 'u', 'unhappy']"
That makes me sad. unhappy  I wasn't friends with her like you,-1,That makes me sad unhappy I wasnt friends with her like you,"['make', 'sad', 'unhappy', 'wasnt', 'friend', 'like']"
 but I liked seeing her posts and love her wri ,-1,but I liked seeing her posts and love her wri,"['but', 'liked', 'seeing', 'post', 'love', 'wri']"
I WAITED FOR YOU unhappy  ,-1,I WAITED FOR YOU unhappy,"['waited', 'unhappy']"
U4v9rr I wish I had noted the gentleman's name unhappy  but if you find out who he is,-1,Uvrr I wish I had noted the gentlemans name unhappy but if you find out who he is,"['uvrr', 'wish', 'had', 'noted', 'gentleman', 'name', 'unhappy', 'but', 'find', 'out']"
 please do commend him. H ,-1,please do commend him H,"['please', 'do', 'commend', 'h']"
I do it for 5/6 times a week leh sad  and yes closing is damn fuck opening so much better,-1,I do it for  times a week leh sad and yes closing is damn fuck opening so much better,"['do', 'time', 'week', 'leh', 'sad', 'yes', 'closing', 'damn', 'fuck', 'opening', 'much', 'better']"
no one is selling vhope banners what?  sad ,-1,no one is selling vhope banners what sad,"['no', 'one', 'selling', 'vhope', 'banner', 'sad']"
All my irls are coming at me because I meet the boys too much and I don't deserve any of it unhappy ,-1,All my irls are coming at me because I meet the boys too much and I dont deserve any of it unhappy,"['irls', 'coming', 'meet', 'boy', 'much', 'dont', 'deserve', 'unhappy']"
you might set the whole place on fire.  ,-1,you might set the whole place on fire,"['might', 'set', 'whole', 'place', 'fire']"
i'll try sad and yes i am unhappy ,-1,ill try sad and yes i am unhappy,"['ill', 'try', 'sad', 'yes', 'unhappy']"
Goodmorning!! My Parents are taking kids for lunch today- they are off school-Report Card! I'm wor ,-1,Goodmorning My Parents are taking kids for lunch today they are off schoolReport Card Im wor,"['goodmorning', 'parent', 'taking', 'kid', 'lunch', 'today', 'schoolreport', 'card', 'im', 'wor']"
yeah sad ,-1,yeah sad,"['yeah', 'sad']"
Streaming later in the day (night stream) since i have to go and take care of the internet contract,-1,Streaming later in the day night stream since i have to go and take care of the internet contract,"['streaming', 'later', 'day', 'night', 'stream', 'since', 'have', 'go', 'take', 'care', 'internet', 'contract']"
 sorry guys unhappy ,-1,sorry guys unhappy,"['sorry', 'guy', 'unhappy']"
True unhappy ,-1,True unhappy,"['true', 'unhappy']"
help me too unhappy  as an early birthday gift huhu,-1,help me too unhappy as an early birthday gift huhu,"['help', 'unhappy', 'early', 'birthday', 'gift', 'huhu']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
Just please look at how scared and full of tence lauren's face is after tryin reaching camila's hand,-1,Just please look at how scared and full of tence laurens face is after tryin reaching camilas hand,"['just', 'please', 'look', 'scared', 'full', 'tence', 'laurens', 'face', 'tryin', 'reaching', 'camilas', 'hand']"
 baby unhappy  (bett,-1,baby unhappy bett,"['baby', 'unhappy', 'bett']"
aww eunji didnt see win today sad  but congratulations to winner !!!!,-1,aww eunji didnt see win today sad but congratulations to winner,"['aww', 'eunji', 'didnt', 'see', 'win', 'today', 'sad', 'but', 'congratulation', 'winner']"
You can have mine and I'll take the iPhone. I'm switching back when my contract is up... in a year and a half unhappy ,-1,You can have mine and Ill take the iPhone Im switching back when my contract is up in a year and a half unhappy,"['can', 'have', 'mine', 'ill', 'take', 'iphone', 'im', 'switching', 'back', 'contract', 'year', 'half', 'unhappy']"
i know.. i really want his ranks to rise a lot during tmr's episode but seeing how many tweet about him.. unhappy ,-1,i know i really want his ranks to rise a lot during tmrs episode but seeing how many tweet about him unhappy,"['know', 'really', 'want', 'rank', 'rise', 'lot', 'tmrs', 'episode', 'but', 'seeing', 'many', 'tweet', 'unhappy']"
 Hitches Ride For Final unhappy  ,-1,Hitches Ride For Final unhappy,"['hitch', 'ride', 'final', 'unhappy']"
White genocide is not a thing. Its figment of your imagination. Youre a victim of nothing but disinformation. ,-1,White genocide is not a thing Its figment of your imagination Youre a victim of nothing but disinformation,"['white', 'genocide', 'not', 'thing', 'figment', 'imagination', 'youre', 'victim', 'nothing', 'but', 'disinformation']"
one direction (band)  whats going on unhappy ,-1,one direction band whats going on unhappy,"['one', 'direction', 'band', 'whats', 'going', 'unhappy']"
Too bad i can't watch it unhappy  that cake is cute and looks delicious,-1,Too bad i cant watch it unhappy that cake is cute and looks delicious,"['bad', 'cant', 'watch', 'unhappy', 'cake', 'cute', 'look', 'delicious']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
give me my own AHN MINHYUK juseyoooo unhappy ,-1,give me my own AHN MINHYUK juseyoooo unhappy,"['give', 'ahn', 'minhyuk', 'juseyoooo', 'unhappy']"
sorry unhappy  i just need sex for the time being,-1,sorry unhappy i just need sex for the time being,"['sorry', 'unhappy', 'just', 'need', 'sex', 'time']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
wants to say HI to you.,-1,wants to say HI to you,"['want', 'say', 'hi']"
this is jimin to yoongi unhappy  ,-1,this is jimin to yoongi unhappy,"['jimin', 'yoongi', 'unhappy']"
It seems they cost abut 40k a year? I'm paying half that for my full education and don't get treat ,-1,It seems they cost abut k a year Im paying half that for my full education and dont get treat,"['seems', 'cost', 'abut', 'k', 'year', 'im', 'paying', 'half', 'full', 'education', 'dont', 'get', 'treat']"
Definitely my arms unhappy  ,-1,Definitely my arms unhappy,"['definitely', 'arm', 'unhappy']"
come to Miami sad  ,-1,come to Miami sad,"['come', 'miami', 'sad']"
TW: S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past. Just found out another unhappy ,-1,TW S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past Just found out another unhappy,"['tw', 'assaultactually', 'horrified', 'many', 'friend', 'mine', 'woman', 'talk', 'have', 'sexually', 'assaulted', 'past', 'just', 'found', 'out', 'another', 'unhappy']"
my heart unhappy  ,-1,my heart unhappy,"['heart', 'unhappy']"
soph please don%27t win again unhappy   jk.. good luck i think you will draw a good poster,-1,soph please dont win again unhappy jk good luck i think you will draw a good poster,"['soph', 'please', 'dont', 'win', 'unhappy', 'jk', 'good', 'luck', 'think', 'will', 'draw', 'good', 'poster']"
sad  I don't,-1,sad I dont,"['sad', 'dont']"
 unfortunately,-1,unfortunately,['unfortunately']
i really feel for that lamp unhappy ,-1,i really feel for that lamp unhappy,"['really', 'feel', 'lamp', 'unhappy']"
sadly I'm not unhappy ,-1,sadly Im not unhappy,"['sadly', 'im', 'not', 'unhappy']"
last kiss unhappy  ,-1,last kiss unhappy,"['last', 'kiss', 'unhappy']"
WHY ARE YOU WHIMPER AT ME? ,-1,WHY ARE YOU WHIMPER AT ME,['whimper']
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,this is damn theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,"['damn', 'there', 'people', 'sincerely', 'want', 'attend', 'bh', 'birthday', 'party', 'but', 'bcs', 'people', 'try', 'fun', 'make', 'ca']"
Been streaminuteg for 45 minute not understanding a thing and still.. unhappy ,-1,Been streaminuteg for  minute not understanding a thing and still unhappy,"['streaminuteg', 'minute', 'not', 'understanding', 'thing', 'still', 'unhappy']"
Why is it so difficult for me to get at least a chance unhappy ,-1,Why is it so difficult for me to get at least a chance unhappy,"['difficult', 'get', 'least', 'chance', 'unhappy']"
